,name,englishname,nickname,nation,race,zodiac_tyep,blood_type,height,weight,birthsite,birthday,occupation,school,company,main_works,main_achieve,judge,judge_cut
261,孙俪,SunLi,,中国,汉族,天秤座,O型,165cm,45kg,上海,1982年09月26日,演员 歌手,东方文化学院,,"甄嬛传
玉观音
那年花开月正圆
芈月传
幸福像花儿一样
辣妈正传
小姨多鹤
影","两届中国电视金鹰奖观众喜爱的女演员奖
两届中国金鹰电视艺术节最具人气女演员奖
两届上海电视节白玉兰奖最佳女主角奖
第31届中国电视剧飞天奖优秀女演员奖",孙俪 的性格很硬朗豪爽，少了一份上海女人的娇气，多了几份东北老爷们的仗义感，自我率性，不喜欢被奉承，对待夸赞，她有自己的小幽默与上海式“跋扈”，不论是在当文艺兵，还是在演艺圈奋斗的时候，面对艰苦的环境，她总能凭借自己的毅力坚持下来（新浪网评）。 有着很好的表演天赋，在拍摄现场能很快进入角色意境，对人物的形象塑造，尺度拿捏准确，同时，也有着很好的敬业精神，每场戏的剧本都会仔细研读，积极与导演交流意见，认真推敲每一个情节，同为演员的甄子丹、彼德奥图等都对她的敬业程度表示赞许，多次获得各类国际和国内奖项，其演艺事业所取得的成功，是她的天赋与这份后天的勤奋和敬业心所共同带来的（腾讯网评）。 在其表演事业取得成功的同时，也积极参与各类慈善公益事业，赈灾活动现场的带头募捐，慈善活动中的义捐义卖，环保活动中的倡议宣言，的身影时常出现在慈善活动中，还曾获得了“全国十大社会公益之星”的荣誉称号（新浪网评）。,孙俪 性格 硬朗 豪爽 少 一份 上海 女人 娇气 几份 东北 老爷 仗义 感 自我 率性 喜欢 奉承 夸赞 幽默 上海 式 跋扈 不论是 文艺兵 演艺圈 奋斗 面对 艰苦 环境 总能 毅力 新浪网 评 表演 天赋 拍摄 现场 很快 角色 意境 人物 形象 塑造 尺度 拿捏 准确 敬业精神 每场 戏 剧本 仔细 研读 导演 交流 意见 推敲 情节 演员 甄子丹 德奥 图 敬业 程度 赞许 各类 国际 国内 奖项 演艺事业 成功 天赋 这份 后天 勤奋 敬业 心 带来 腾讯网 评 表演 事业 取得成功 积极参与 各类 慈善 公益事业 赈灾 活动 现场 带头 募捐 慈善 活动 中 义捐 义卖 环保 活动 中 倡议 宣言 身影 时常 慈善 活动 中 全国 十大 社会 公益 之星 荣誉称号 新浪网 评
262,姜文,JiangWen,姜小军,中国,汉族,摩羯座,,183cm,90kg,河北唐山,1963年01月05日,演员 导演 编剧,中央戏剧学院（表演系80级）,,"芙蓉镇
阳光灿烂的日子
鬼子来了
太阳照常升起
让子弹飞
红高粱
北京人在纽约
邪不压正","戛纳国际电影节评审团大奖
台湾电影金马奖最佳导演
大众电影百花奖最佳男演员
中国电视金鹰奖最佳男演员
香港电影金像奖最佳男配角展开主要成就戛纳国际电影节评审团大奖
台湾电影金马奖最佳导演
大众电影百花奖最佳男演员
中国电视金鹰奖最佳男演员
香港电影金像奖最佳男配角
中国电影导演协会年度导演
上海国际电影节华语电影杰出贡献奖
“2017年奥斯卡”新成员",姜文工作照 工作照陈冲：的故事永远不满足于告诉你一些司空见惯的、日常的事。国内很多观众的观影习惯其实是靠电视剧培养起来的，还是期待你给他讲个故事。一旦这个电影不是侧重于叙事，而是另一些更深更难的东西，他们就不适应。 姜文 周润发：他跟其他导演不一样，因为他同时还是个演员，他懂表演。我不是说其他导演不懂表演，但是从演员的角度去看怎么表演，所以他的要求跟其他导演不一样。他从演员的角度去看，就是如果他来演应该怎样，会很具体化跟演员交流起来，不是很虚很玄的，是站在同一个台上跟你交流，挺过瘾的。 张艺谋：他非常会演戏，头脑非常聪明，考虑问题也非常周到，非常有能力。而且我觉得他绝对要做个好导演，他有这样的心。他就是个要当司令官的人，不会当底下的兵。他的心很高，也有这个能力，他希望超过任何人。我的看法是，他嘴上不说，心里可能觉得张艺谋、陈凯歌、贾樟柯、陆川，都不算什么。他真的是一个心比天高的人。我觉得他骨子里一定想超越当代的中国导演，他比这些人都要强。他真的这样想，但他嘴上不承认。这是我的看法。我也相信他是未来中国最好的导演。 王朔：他身上有股劲儿让很多认识他的人愿意为他做点事。一般聊到他，不管大家对他的某部电影看法如何，他的电影票房啦获奖啦成绩如何，一个评价是普遍有共识的：中国需要有这么个人。这个评价很高了我以为。类型片导演不管多么成功都是可以代替的，而老姜是一个有自己态度且旗帜鲜明的人，有他在，我们才好说本大国电影也不都是行活儿。 姜文 殷谦：刻意把真实的生活和他的艺术作品完美结合，这也是他为人处事的严谨作风，无论对事对人他都很认真很细腻，这就是为什么这个才华横溢、个性极强的人因为他的个性和脾气，使很多行内人也常常感到很难合作。他的态度是诚恳的，情感是强烈的，正因为他本人有这样的主观心象，出自他手下的好多影视作品才给人留下深刻的印象，还给人带来丰富而美好的内在体验。我们时代的许多影视作品之所以缺乏内在价值，缺乏从精神上影响人的力量，不是因为没有生动的情节和场面，而是因为他们缺乏这种强烈的情感、诚恳的态度。 龙应台：是大陆演艺人员中产量特别少、影响却很大的人，这与他的犀利眼光和独特创作有很大关系。,姜文 工作 工作 陈冲 故事 永远 告诉 司空见惯 日常 事 国内 观众 观影 习惯 电视剧 培养 期待 讲个 故事 电影 侧重于 叙事 更深 更难 东西 姜文 周润发 导演 演员 懂 表演 说 导演 懂 表演 演员 角度 表演 导演 演员 角度 他来演 具体化 演员 交流 虚 玄 站 同一个 台上 交流 挺 过瘾 张艺谋 演戏 头脑 聪明 周到 能力 做 导演 心 司令官 底下 兵 心 高 能力 希望 超过 任何人 看法 嘴 说 张艺谋 陈凯歌 贾樟柯 陆川 不算什么 真的 心比天高 骨子里 想 超越 当代 中国 导演 要强 真的 想 嘴 承认 看法 未来 中国 导演 王朔 身上 有股 劲儿 做点事 聊到 某部 电影 看法 电影票房 获奖 成绩 评价 共识 中国 评价 高 类型 片 导演 成功 老姜 态度 旗帜鲜明 说 大国 电影 行 活儿 姜文 殷谦 刻意 真实 生活 艺术作品 完美 为人处事 严谨 作风 对事 细腻 才华横溢 个性 极强 个性 脾气 行内 感到 很难 合作 态度 诚恳 情感 正 主观 心 象 出自 手下 好多 影视作品 留下 深刻 印象 还给 带来 美好 内在 体验 时代 影视作品 缺乏 内在 价值 缺乏 精神 影响 力量 生动 情节 场面 缺乏 情感 诚恳 态度 龙应台 大陆 演艺 人员 中 产量 特别 少 影响 很大 犀利 眼光 独特 创作 很大 关系
263,李玟,CoCoLee,李美林,美国,汉,摩羯座,O型,163cm,50kg,中国-香港,,歌手 演员,美国加州大学IRVINE分校生物系,,"往日情
月光爱人
暗示
好心情
刀马旦
美丽笨女人
魔镜
真情人
叩叩等","Billboard最佳中文音乐录像带奖
全球华语榜中榜亚洲最杰出艺人
香港十大中文金曲最佳国语女歌手
CCTV-MTV音乐盛典最佳国际女歌手
亚洲周刊亚洲50位最具影响力人物展开主要成就Billboard最佳中文音乐录像带奖
全球华语榜中榜亚洲最杰出艺人
香港十大中文金曲最佳国语女歌手
CCTV-MTV音乐盛典最佳国际女歌手
亚洲周刊亚洲50位最具影响力人物
美国哈佛大学杰出华人奖
首位位献唱奥斯卡颁奖典礼的亚洲歌手
首位为NBA联赛献唱的亚洲艺人
美国E娱乐25大性感流行天后15位",CoCo杂志图片 李玟是第一位在美国歌坛出道的华裔歌手，并被时代杂志评价为“华人之光”。凭着扣人心弦的歌声、天赋的节奏感和自然的表演才华，李玟在华人流行乐坛取得了一定的成就，被誉为“亚洲的MariahCarey”。（RollingStone评价） 她拥有性感和甜蜜的外形（台湾版GQ评价），还有优美高音与唱腔，音域、音色和英文歌的腔调都丰美地道，而且她声音中略带淘气的节奏感。（WalterAfanasieff评价）。 李玟有东方歌手普遍缺少的音乐天赋（欧洲乐评人托马斯-布鲁曼评价）。她具备才华和取得成功的信心，不过她最大的特色是把东西文化进行了融合（Brave评价）。 李玟不单在海外取得商业成就，还替亚洲乐坛引入新元素，她将节奏怨曲注入中文歌，歌迷对“新风格”迅速受落，唱片开始大卖（PlanetBG评价）。 李玟被媒体和歌迷称为“国际天后”，因为她在国际乐坛确实有一定的知名度和影响力（新华网评价）。,CoCo 杂志 图片 李玟 第一位 美国 歌坛 出道 华裔 歌手 时代 杂志 评价 华人 之光 凭着 扣人心弦 歌声 天赋 节奏感 自然 表演 才华 李玟 华人 流行 乐坛 成就 被誉为 亚洲 MariahCarey RollingStone 评价 拥有 性感 甜蜜 外形 台湾版 GQ 评价 优美 高音 唱腔 音域 音色 英文歌 腔调 丰美 地道 声音 中 略带 淘气 节奏感 WalterAfanasieff 评价 李玟 东方 歌手 缺少 音乐 天赋 欧洲 乐评人 托马斯 布鲁曼 评价 具备 才华 取得成功 信心 特色 东西 文化 融合 Brave 评价 李玟 海外 商业 成就 亚洲 乐坛 引入 新元素 节奏 怨曲 注入 中文 歌 歌迷 新 风格 受 落 唱片 大卖 PlanetBG 评价 李玟 媒体 歌迷 称为 国际 天后 国际 乐坛 确实 知名度 影响力 新华网 评价
265,马伊琍,MaYili,,中华人民共和国,汉族,巨蟹座,B型,164cm,,上海市虹口区,1976年06月29日,演员,上海戏剧学院,,"我的前半生
奋斗
还珠格格3
乔家大院
北上广不相信眼泪
中国式关系
婚姻保卫战
找到你","第24届上海电视节白玉兰奖最佳女主角
第9届中国长春电影节最佳女主角
第21届上海国际电影节-电影频道传媒大奖最受传媒关注女配角
第12届中国电影表演艺术学会金凤凰奖学会奖
第19届华鼎奖中国百强电视剧最佳女主角展开主要成就第24届上海电视节白玉兰奖最佳女主角
第9届中国长春电影节最佳女主角
第21届上海国际电影节-电影频道传媒大奖最受传媒关注女配角
第12届中国电影表演艺术学会金凤凰奖学会奖
第19届华鼎奖中国百强电视剧最佳女主角
第4届横店影视文荣奖最佳女主角
第1届亚洲彩虹奖最佳女喜剧演员奖",“我这个人婚前很擅长主外，婚后就开始慢慢学会主内，现在我是内外兼修的婚姻选手。我结婚前比较“大女人”一些，但与文章婚后，学会了在外“大女人”，在家“小女人。”（自评） “这个角色让马伊琍充分展示了极宽的戏路”（赵宝刚评） “她是好演员的代表。”（朱亚文评）,婚前 擅长 主 外 婚后 慢慢 学会 主内 内外 兼修 婚姻 选手 结婚 前 女人 文章 婚后 学会 在外 女人 在家 女人 自评 角色 马伊 琍 展示 宽 戏路 赵宝刚 评 演员 代表 朱亚文评
266,刘伟强,AndrewLau，WaiKeungLau,,中国,汉族,白羊座,,174cm,,香港,1960年04月04日,导演 摄影 监制,,,"风云
无间道
古惑仔
头文字D
伤城
雏菊
精武风云·陈真","香港电影金像奖“最佳导演”
“最佳摄影”
台湾电影金马奖“最佳导演”",刘伟强不像个认真的导演，票房是他的理想，而摄影才是他的精华。他始终钟爱坐在摄影师的位置上，像游戏迷那样去玩控镜中的世界。他是那种典型的香港人，务实，精明，勤力，做事倾力认真，开工大过天，但也只当成一份工作看（腾讯娱乐评）。 从摄影师到导演，刘伟强在黑帮片、警匪片、爱情片、悬疑片、武侠片等都有涉猎，正是凭借丰富的阅历、敏锐的视角、扎实的功底和独特的思考，刘伟强以多元化类型交融变奏拓宽了香港电影的视野，其流变却始终独特的叙事风格更让他独树一帜；难能可贵的是，在谙熟商业电影游戏规则的同时，他尤为关注人物精神内核和文化特质，对人性的深入剖析使他的影像作品富有哲理的思考。因而刘伟强电影既获得观众认同创造了巨大票房价值，又在业界赢得了普遍的尊重，可谓引领了香港电影的发展潮流（《电影文学》杂志评）。,刘伟强 不像 导演 票房 理想 摄影 精华 始终 钟爱 坐在 摄影师 位置 游戏迷 玩 控镜 中 世界 那种 典型 香港 务实 精明 勤力 做事 倾力 开工 大过天 当成 一份 工作 腾讯 娱乐 评 摄影师 导演 刘伟强 黑帮片 警匪片 爱情片 悬疑片 武侠片 涉猎 阅历 敏锐 视角 扎实 功底 独特 思考 刘伟强 多元化 类型 交融 变奏 拓宽 香港电影 视野 流变 始终 独特 叙事 风格 独树一帜 难能可贵 谙熟 商业 电影 游戏规则 尤为 关注 人物 精神 内核 文化 特质 人性 剖析 影像 作品 富有 哲理 思考 刘伟强 电影 观众 认同 创造 票房价值 业界 赢得 尊重 可谓 引领 香港电影 发展 潮流 电影 文学 杂志 评
267,胡冰卿,,小胡 冰卿,中华人民共和国,汉族,水瓶座,,,,安徽合肥,1992年01月25日,演员,上海视觉艺术学院,,"独孤天下
旋风少女
秦时明月
腾空的日子",2015年时尚星秀年度星秀人物盛典年度风尚新人奖,节目活动图 胡冰卿清澈甜美，可谓人如其名，冰清玉洁。从高月公主到戚百草，胡冰卿被业内誉为“兰草型”女孩，清逸脱俗，内敛坚韧，潜力不容小觑。在《深夜食堂》中，胡冰卿的表演让人眼前一亮，诠释了少女的明朗乐观。哭戏也可圈可点，处理得很有层次，戳心感染力强，引人泪目（新浪娱乐评）。、 胡冰卿是一个害羞的人，有清丽的面容和灵动的演技（石家庄日报评）。胡冰卿有灵性，也很有韧性，很能吃苦，即使拍摄时身上带伤也一声不吭（明晓溪评）。 2015年写真 胡冰卿在拍摄《旋风少女》的最初承受了不少的质疑与争议的声音，毫无舞蹈功底的胡冰卿面对高难度元武道动作苦练许久，其坚持隐忍的精神与剧中的戚百草人设不谋而合。播出后，这种精神通过荧幕展现在观众面前，也使支持的声音逐渐盖过了争议（网易娱乐评）。,节目 活动 图 胡冰卿 清澈 甜美 可谓 名 冰清玉洁 高 月 公主 到戚 百草 胡冰卿 业内 誉为 兰草 型 女孩 清逸 脱俗 内敛 坚韧 潜力 不容 小觑 深夜 食堂 中 胡冰卿 表演 眼前一亮 诠释 少女 明朗 乐观 哭戏 可圈可点 层次 戳心 感染力 强 引人 泪目 新浪 娱乐 评 胡冰卿 害羞 清丽 面容 灵动 演技 石家庄 日报 评 胡冰卿 灵性 韧性 很能 吃苦 拍摄 时 身上 带伤 一声不吭 明晓溪 评 2015 年 写真 胡冰卿 拍摄 旋风 少女 最初 承受 质疑 争议 声音 舞蹈 功底 胡冰卿 面对 高难度 元 武道 动作 苦练 许久 隐忍 精神 剧中 戚 百草 人设 不谋而合 播出 精神 荧幕 展现 观众 面前 支持 声音 盖过 争议 网易娱乐 评
268,贾玲,,贾裕玲,中国,汉族,金牛座,B型,166cm,,湖北省襄阳市宜城市,1982年04月29日,演员 编剧 导演,中央戏剧学院,,"喜乐街
大话捧逗
芝麻开门
欢喜密探
你好
李焕英
倩女幽魂
新白娘子传奇","1998年湖北文艺大赛一等奖
全国相声小品赛相声一等奖
中央电视台第三届相声大赛二等奖
中央电视台春节联欢晚会三等奖
2016网易时尚盛典年度最佳喜剧人",网友热议 贾玲是一个毫无架子的人，但一提及演出就特别的认真，不仅对自己要求非常苛刻，对其小品内容也是极其严格。贾玲解放天性、不顾女人形象的演出，给人带来惊喜和欢乐，也让她在喜剧界独树一帜。（搜狐评） 夸张的喜剧表演对女演员来说，心里难免有道坎。有的女艺人在综艺节目中不计形象的搞笑表演后，回到后台甚至会偷偷落泪。贾玲几乎没有这个包袱，就连师傅冯巩都觉得她是在自毁形象。（人民网评） 贾玲的综艺喜感爆表程度已经到了近乎不动声色也令观众忍俊不禁的境界，“既可耍宝秀绝活，也敢剃发充硬汉”。面对如此高能的贾玲，网友们纷纷摊手表示“对这样的她完全没有抵抗力”，而被赞“喜剧女神”的贾玲不仅是在广大观众心中奠定了牢固根基，同时更受到全民追捧，大赞其为“女版周星驰”。（新华网评）,网友 热议 贾玲 架子 提及 演出 特别 苛刻 小品 内容 贾玲 解放 天性 不顾 女人 形象 演出 带来 惊喜 欢乐 喜剧 界 独树一帜 搜狐 评 夸张 喜剧 表演 女演员 难免 道坎 女艺人 综艺节目 中 不计 形象 搞笑 表演 回到 后台 偷偷 落泪 贾玲 包袱 师傅 冯巩 自毁 形象 人民网 评 贾玲 综艺 喜感 爆表 程度 近乎 不动声色 令 观众 忍俊不禁 境界 耍宝 秀 绝活 剃发 充 硬汉 面对 高能 贾玲 网友 纷纷 摊手 抵抗力 赞 喜剧 女神 贾玲 广大观众 心中 奠定 牢固 根基 全民 追捧 大赞 其为 女版 周星驰 新华网 评
269,张耀扬,RoyCheung,东星耀扬,中国,汉族,巨蟹座,O型,181cm,75kg,香港,1963年07月20日,演员 模特,慈云山德致英文中学,,"监狱风云
龙虎风云
学校风云
古惑仔
我在黑社会的日子
逃学威龙",第5届香港电影金紫荆奖最佳男配角,张耀扬是香港诸多演员中颇有特色的一员，从1986年出演的《龙虎风云》中饰演反派开始，在随后拍摄的80多部电影中差不多80%都是反派。在古惑仔第三部《只手遮天》中，他更是把黑道狠角色乌鸦表现的淋漓尽致。假如将电影里的反派分成大哥型、小人型、变态型、打手型等若干类型，那么张耀扬就是不折不扣的打手型。（网易娱乐评） 演反派同样能演出名堂，尽管没有大红大紫。如今在观众，尤其是女性观众心中，张耀扬有着反派演员少有的不俗人气。尽管张耀扬不像黄秋生、吴镇宇那样获得过影帝的荣誉，但独到的演技和极致的发挥却让他在观众心目中留下了深刻印象。（凤凰娱乐评）,张耀扬 香港 诸多 演员 中 特色 一员 1986 年 出演 龙虎风云 中 饰演 反派 拍摄 80 多部 电影 中 80% 反派 古惑仔 第三部 只手遮天 中 更是 黑道 狠 角色 乌鸦 表现 淋漓尽致 电影 里 反派 分成 大哥 型 小人 型 变态 型 打手 型 若干 类型 张耀扬 不折不扣 打手 型 网易娱乐 评 演 反派 演出 名堂 大红大紫 观众 女性 观众 心中 张耀扬 反派 演员 少有 不俗 人气 张耀扬 不像 黄秋生 吴镇宇 影帝 荣誉 独到 演技 极致 发挥 观众 心目 中 留下 深刻印象 凤凰 娱乐 评
270,于谦,,谦哥 于大爷 于老板,中国,汉族,水瓶座,,176cm,,北京,1969年01月24日,相声演员 主持人,北京电影学院、北京戏曲艺术职业学院,,"我是黑社会
我这一辈子
你要高雅
白事会
我要反三俗",北京马术文化节儿童马术推广大使,郭德纲、于谦 于谦在文艺圈的多栖发展虽未大红，颇也顺风顺水。然而，他却将这段离开相声的岁月称之为“痛苦的寂寞期”，（引自《鲁豫有约》2011年于谦专访），从中不难感到于谦对相声艺术隐藏在心的挚爱和不舍。 于谦是这个行业里不可多见的捧哏奇才。而且这个人很可爱，他的全部精力就是在玩儿上，他说相声也是。他有一半是为了自己开心，台下也总是没溜儿地耍闹。他的人生乐趣就是玩，说相声也是为了好玩，他是一个懂生活的人，他的人生很快乐，也很单纯，这也是他对相声的理解。在现如今这个年龄的相声艺人里边，出其右者，不好找。（郭德纲评） 于谦的台风儒雅沉稳，自然从容，与郭德纲嬉闹灵动，充强扮愣的喜剧风格相得益彰；于谦又极善“现挂”（相声中的即兴包袱），反应十分敏捷，郭德纲的逗哏天赋优秀，而于谦的捧哏功力极佳，郭德纲的很多包袱都靠他的“捧”而爆响全场，观众普遍反映“只有于谦才能捧住郭德纲”，“于谦真正展现了相声三分逗、七分捧的特点”。（搜狐娱乐评）,郭德纲 于谦 于谦 文艺圈 栖 发展 虽未 大红 顺风 顺水 这段 离开 相声 岁月 称之为 痛苦 寂寞 期 引 鲁豫有约 2011 年于 谦 专访 不难 感到 于谦对 相声 艺术 隐藏 心 挚爱 不舍 于谦是 行业 里 多见 捧哏 奇才 可爱 精力 玩儿 说 相声 一半 开心 台下 没溜儿 耍闹 人生 乐趣 玩 说 相声 好玩 懂 生活 人生 快乐 相声 理解 现如今 年龄 相声 艺人 里边 出其 右者 不好 找 郭德纲评 于谦 台风 儒雅 沉稳 自然 从容 郭德纲 嬉闹 灵动 充强 扮 愣 喜剧 风格 相得益彰 于谦 极善 现挂 相声 中 即兴 包袱 敏捷 郭德纲 逗哏 天赋 优秀 而于 谦 捧哏 功力 极佳 郭德纲 包袱 捧 爆响 全场 观众 于谦 捧住 郭德纲 于谦 展现 相声 三分 逗 七分 捧 搜狐 娱乐 评
271,方琼,,曹静霞,中国,汉族,摩羯座,O型,172cm,56kg,河北省石家庄市,1974年01月04日,主持人,中国传媒大学、河北师范大学,,"超级宝宝秀
家政女皇
我为购物狂","电视播音员“金话筒”主持人奖
第十一届中国青年五四奖章
首届“十佳”电视主持人",方琼写真照 方琼，她曾经身披橄榄绿，体会过多姿多彩的军旅生活；也曾经饱含爱心，从事幼教工作；她还曾步入社会，做过广告人。无论是哪一个阶段，方琼都尽心尽职，得心应手。（中国网评） 丰富的人生经历为方琼的成长积累了厚实的社会知识，也造就了她待人接物的亲和力、机敏的反应能力、出口成章的语言表达能力。为了自己的职业梦想，她不断充实自我，潜心学习，很快成为人们颇为喜爱的主持人。（人民网评）,方琼 写真照 方琼 身披 橄榄绿 体会 多姿多彩 军旅 生活 饱含 爱心 幼教 工作 步入 社会 做过 广告人 无论是 阶段 方琼 尽心尽职 得心应手 中国 网评 人生 经历 为方琼 成长 积累 厚实 社会 知识 造就 待人接物 亲和力 机敏 能力 出口成章 语言表达 能力 职业 梦想 充实 自我 潜心 学习 很快 颇为 喜爱 主持人 人民网 评
272,林晓峰,JerryLambHit-Fung,阿Lo,中国,汉族,天秤座,B型,170cm,77kg,中国香港,1970年09月28日,演员 主持人 歌手 DJ,,,"难兄难弟
古惑仔
冲上云霄",第16届香港电影金像奖最佳男配角提名,林晓峰外形并不是玉树临风，而且演男主角没什么说服力，一般在无线剧中通常充当绿叶角色，以一些搞笑、窝囊的配角形象出现，但是他通过走轻松搞笑的路线，从而找到了自己的位置，可以说是很有观众缘。在《古惑仔》里，林晓峰演绎的“呆瓜”形象颇具喜感，虽然他的戏份不是很重，但演技还是值得称赞的。他在电影《辣警霸王花》的“神乱入”被观众津津乐道，亮点一现让人记忆深刻。在节目《亚洲星光大道》中，搞笑元素对这位“前奖门人”来说，可以说是小菜一碟。而在节目《粤讲越掂》中，他选择走偶像剧里白马王子的路子，但偏偏有一张不那么偶像的脸，看上去非常别扭。（网易、《羊城晚报》、人民网、腾讯、金羊网评）,林晓峰 外形 玉树临风 演 男主角 没什么 说服力 无线 剧中 充当 绿叶 角色 搞笑 窝囊 配角 形象 走 轻松 搞笑 路线 找到 位置 说 观众 缘 古惑仔 里 林晓峰 演绎 呆瓜 形象 颇具 喜感 戏份 重 演技 值得称赞 电影 辣警 霸王花 神乱入 观众 津津乐道 亮点 一现 记忆 深刻 节目 亚洲 星光 大道 中 搞笑 元素 这位 前 奖门人 说 小菜一碟 节目 粤 讲 越 掂 中 选择 走 偶像剧 里 白马王子 路子 一张 偶像 脸 别扭 网易 羊城晚报 人民网 腾讯 金羊网 评
273,李东翰,,李鹏 东翰 鹏鹏 大鹏哥,中国,汉族,射手座,A型,183cm,75kg,吉林省长春市,1980年12月18日,演员,中央戏剧学院,,"少年包青天3
兰陵王
盗墓女
米脂婆姨",,李东翰特别适合演军人，而长期的运动训练也让他拥有良好的身体素质和独特的个人气质，再加上出身于军人家庭，从小耳濡目染，诠释起军人形象也得心应手、形神兼备（新浪、刘涛评）。 李东翰在电视剧《兰陵王》中，不仅将阳士深这一角色演绎得很生动，而且还将阳士深忠心沉稳、有情有义的形象刻画得深入人心（搜狐评）。 李东翰拥有硬朗帅气的外形、娴熟且充满爆发力的演技。李东翰在电视剧《向着炮火前进》中，将八重英的人物性格，以及前后反差，诠释得层次分明、十分饱满，而这也展现出其不露痕迹的表演功底（腾讯评）。,李东翰 特别 适合 演 军人 长期 运动 训练 拥有 身体素质 独特 气质 出身 军人家庭 耳濡目染 诠释 军人 形象 得心应手 形神 兼备 新浪 刘涛 评 李东翰 电视剧 兰陵王 中 将阳士 深 角色 演绎 生动 阳士 深 忠心 沉稳 有情有义 形象 刻画 深入人心 搜狐 评 李东翰 拥有 硬朗 帅气 外形 娴熟 充满 爆发力 演技 李东翰 电视剧 炮火 中 八重 英 人物性格 反差 诠释 层次分明 饱满 展现出 不露痕迹 表演 功底 腾讯 评
275,姚明,YaoMing,明王 移动长城 小巨人 大姚,中国,汉族,处女座,B型,226cm,1406kg,上海市徐汇区,1980年09月12日,,上海交通大学安泰经济与管理学院,,我的世界我的梦,,姚明漫像-徐成刚作品 他用高超的体育技能，在一个强手如林的国家运动项目中占有了一席之地，成就了很多人的梦想，更成为中国人的骄傲。他出色的表现和随时听从祖国召唤的爱国精神，使他带给人们的思考已经远远超过了体育本身。对祖国的情感，对现在的把握和对未来的期待，都将使他成为中国体育和NBA的历史人物。（感动中国颁奖词） NBA评价称，“站在2米26的高度，他几乎以一举之力改变了NBA只在一个国度风靡的局面，推动了NBA至关重要的全球化发展。”,姚明 漫像 徐成 作品 高超 体育 技能 强手如林 国家 运动 项目 中 占有 一席之地 成就 梦想 中国 骄傲 出色 表现 听从 祖国 召唤 爱国精神 带给 思考 远远 超过 体育 祖国 情感 把握 未来 期待 中国 体育 NBA 历史 人物 感动 中国 颁奖词 NBA 评价 称 站 米 26 高度 一举 之力 改变 NBA 国度 风靡 局面 推动 NBA 至关重要 全球化 发展
276,鞠萍,,鞠萍姐姐,中国,汉族,水瓶座,,,,北京,1966年01月25日,主持人 制片人 编导,北京市幼儿师范学校,,《大风车》《新大头儿子小头爸爸》,,鞠萍的节目陪伴了几代人的成长（现代快报评）。作为中央电视台首位专职青少年节目主持人，鞠萍多次捧得金话筒，她以甜美的形象和自然活泼的主持风格，用二十七年的青春陪伴了一代又一代的小朋友们度过了快乐的童年，受到了小朋友和家长们的喜爱（凤凰娱乐评）。,鞠萍 节目 陪伴 几代人 成长 快报 评 中央电视台 首位 专职 青少年 节目 主持人 鞠萍 捧得 金话筒 甜美 形象 自然 活泼 主持 风格 二十七年 青春 陪伴 一代 一代 小朋友 度过 快乐 童年 小朋友 家长 喜爱 凤凰 娱乐 评
278,劳春燕,LaoChunYan,春燕,中华人民共和国,汉族,射手座,O型,167cm,55kg,浙江省绍兴市越城区,1972年11月30日,编辑 记者 主持人,复旦大学新闻系,,《中国法制报道》《东方时空》《新闻1+1》《焦点访谈》,"全国三八红旗手
2013年度中国“金话筒”奖
中国新闻奖",劳春燕大一军训 她语言清新自然，却不乏干练犀利。（中国电视报评） 以往荧屏上的国际新闻，特别是军事报道基本都是男主持人的天下，即便有女主持人，也大多是“花瓶”摆摆样子，而劳春燕不仅让向来硬朗的军事荧屏靓丽柔美起来，而且她还十分专业。（成都日报评） 大学期间被师生赞为“复旦才女”。当时劳春燕入复旦后军训一年，那也是她最难忘怀的岁月，照片中的劳春燕英姿飒爽。（凤凰网评）,劳春燕大一 军训 语言 清新自然 不乏 干练 犀利 中国 电视报 评 以往 荧屏 国际 新闻 特别 军事 报道 男 主持人 天下 女 主持人 花瓶 摆摆 样子 劳春燕 向来 硬朗 军事 荧屏 靓丽 柔美 专业 成都日报 评 大学 期间 师生 赞为 复旦 才女 劳春燕入 复旦 军训 一年 最难 忘怀 岁月 照片 中 劳春燕 英姿飒爽 凤凰网 评
