,script
61,#众志成城抗疫主题美术作品展 #中国国家博物馆 #疫情 #抗疫
62,#传播正能量 #作品推广小#抗疫 @抖音小助手 #天外飞仙漫步云间
63,#传播正能量 #抗疫#美国@抖音小助手
64,#传递正能量 #内功 #太极 #中医 #健康 #道 #武术 #运动 #正能量 #功夫 #抗疫   练内功
65,#传递正能量 #太极 #内功 #健康 #经络养生 #功夫 #道 #运动 #武术 #抗疫 #中医
66,#传递正能量 #抖音小助手 #抗疫
67,#传递正能量 #抗疫@抖音小助手
68,#作品推广 #抗疫 #热门
69,#作文作文 #满分作文 #华彩段落 #作文 #抗疫 #作文素材 #学霸秘籍 @抖音小助手
70,#作文摘抄#抗疫 学霸们都在偷偷摘抄的抗议作文，高考稳拿高分#抖音小助手
71,#作文素材 #作文作文 #作文 #学霸秘籍 #高考#抗疫 #句子 #华彩段落 @抖音小助手
72,#作文素材 #抗疫 #作文 #华彩段落 #学霸秘籍 #满分作文@抖音小助手
73,#你swag不swag #爵士 摊在家里的愉快假期。（一定要加油🇨🇳）#抗疫 @DOU+小助手
74,#你是我疫情过后最想见的人 #抗疫 辛苦啦！
75,#你的名字，我们的荣光 ！#广州 多个著名地标为#抗疫#驰援湖北 医疗队亮灯致敬#首批广东医疗队返回广州
76,#俄罗斯 #主持人：不是我们幸运，而是吸取 #中国 #抗疫 经验提前防疫！#厉害了我的国！
77,#俄罗斯#抗疫# 必须在正确的方向采取一些动作，如果不能完全阻止，有可能导致经济瘫痪
78,#俄罗斯副总理新冠阳性 已自我隔离！如复检结果仍为阳性，他将配合治疗并进行远程办公#抗疫
79,#俄罗斯将动用国防部力量协助 #抗疫！ #疫情全知道
80,#倪妮 的一段话说出了多少人的心声，感谢你们在这场战斗中的坚持和付出！#在一起 #抗疫 #张天爱
81,#健康#抗疫#武汉加油
82,#健身 #抗疫  #居家 #
83,#全国人民加油 #抗疫#我们一起抖到底 #待山河无恙人间皆安 #我们相约春暖花开 我们相约杨山河吧野饮！可否？
84,#全国哀悼 #英雄 #抗疫
85,#全国哀悼日 贵州省黔西南州全体公安民警为#抗疫 中牺牲的烈士和逝世的同胞致哀。@抖音小助手 @中国警察网
86,#全国抗击新冠疫情表彰大会 #北清智库  抗击疫情纪实#清大emba #抗疫 #战疫chuan行动 #战疫应援
87,#全民核酸检测 #抗疫 #向一线工作者致敬 #防疫前线 #疫情 #新冠肺炎
88,#全民核酸检测 #防控疫情我们在一起 #石家庄 #抗疫 石家庄加油鸭！！！
89,#全民核酸检测 核算检测已经2个小时了，何时通知我结果#大连疫情 #抗疫
90,#全民防疫 大连这次疫情来的太突然，600万人全民核酸检测#大连加油 #抗疫
91,#公益 #抗疫 #舞蹈 彝良首支抗疫题材公益舞蹈《最美逆行》，致敬所有抗疫医护人员们
92,#公益#舞蹈#抗疫 彝良首支抗疫题材公益舞蹈《最美逆行》，致敬所有抗疫医护人员们
93,#六一儿童节 #抗疫 烈士 #彭银华 的孩子在武汉出生❤️小名六一，点❤️祝福🙏
94,#共享单车 #抗疫 防疫消杀，青桔一直在行动💪
95,#共同助力疫情防控 #抗疫 #防控疫情我们在一起
96,#共同助力疫情防控 #最新消息 #致敬医护人员 #疫情 #抗疫 #致敬 #新冠 #权威发布 #新闻
97,#内蒙古包头 #援鄂医疗队 #新婚 夫妻相拥在一起 她为#抗疫 剪去长发 她是#最美医护者 是最美#老婆
98,#凤县 中医医院医生王永鹏，#抗疫 有“医心”，奋战在#抗疫一线
99,#凯旋归来 #南京 #抗疫 终于回来了
100,#出门戴口罩 #抗疫 #戴上口罩几分颜 今年戴口罩真的省了不少钱呢？你慢慢算吧？
101,#刘德华#抗疫 老大亲自作词，献唱公益抗疫歌曲《我知道》！有爱心正能量的老大！👍👍👍
102,#刚强 #王宁 联袂主持，#致敬 #英雄的人民 和#人民的英雄 ！#抗疫 #奉献  @抖音小助手
103,#创作灵感 告诉我最后你看到了什么？#手机摄影 #教程 #学生党 #道具  #道具#口罩 #抗疫
104,#创作灵感 平凡二字，你我皆有，唯有不同，你是英雄#抗疫 #社区 #湖北 #鄂州 @DOU+小助手
105,#创作灵感 抗疫期间，武大校友向武汉捐款捐物超2亿#为武大校友点赞#武汉大学 #抗疫
106,#剪出幸福年 姑娘们是不是都像我一样了？老实儿在家呆着吧 😷#抗疫
107,#加油 #豆瓣酱 #郫都 #抗疫
108,#加油乌鲁木齐 2020注定是不平凡的一年，举国抗疫！乌鲁木齐加油！#乌鲁木齐加油 #抗疫 #中国加油
109,#加油站 #做好防护措施 #抗疫 #防疫 #沈阳 共克难关，做好防护。英雄的城市，英雄的人民，加油！
110,#动画  #抗疫  #原创 疫情在前，拼尽全力，我们不退！
111,#北京 _当前#湖北 地区人员一律不得返京#抗疫
112,#北京#抗疫#医生累得在#地铁上坐着都睡着了，#女孩这一举动#暖心了所有人
113,#北京取消隔离，好消息就要来了，大家要坚持住！不可放松警惕#抗疫@抖音小助手
114,#北京新发地 #新发地市场 #抗疫 我们都乖乖的，不给国家添麻烦。😷😷😷@抖音小助手
115,#北京的疫情控制了，朋友们请为医务工作者给力点赞.为我中国速度点赞吧！#抗疫#感谢抖音平台传递正能 #
116,#北京的疫情控制住了，友友们为广大医务工作者点赞，为中国速度点赞，为北京点赞 #抗疫 #传递正能量！🌹🌹
117,#北方的雪 #你的城市下雪了吗 #抗疫 面对疫情，白衣天使无畏无惧！向天使致敬！天津滨海加油！ @DOU+小助手
118,#医护人员 #抗疫#聊城大学#大美聊城 #美食美食 #抖音美食
119,#医生 #三八节 #抗疫 快三八了，病区主任亲自“登台”为女医护人员献歌一曲。希望在抗疫期间都能保持最好心态。
120,#医生 #烧烤 #抗疫 6位医学高材生转战餐饮，打造业界新模式。心系同行，支援抗疫一线。@抖音小助手
121,#医者仁心 #致敬劳动者 #你奋斗的样子真美 #抗疫
122,#医者仁心#抗疫，姑娘不哭！#谢谢您为了我们的健康守护！2月日，四川成都一名女护士的哭泣感动很多人
123,#十堰 市人民医院向#抗疫 一线凯旋的5名医护人员颁发“战役士”证书，每人奖万元！#白衣天使加油#医院
124,#单边挑眉 #抗疫 都说说宅家最长的一次洗头隔了多久？我先来：九天🤪@抖音小助手 @DOU+小助手
125,#南京 #抗疫 #开学 神兽们开学啦！学校对师生健康拿出了00%的重视~
126,#南宫#加油 #抗疫 我们陪南宫一起打赢这场仗！#致敬一线工作人员 #中国加油 @抖音小助手
127,#南通  #抗疫  南通派出23名医护入沪共守“国门”！
128,#印度 #抗疫，西红柿脱销
129,#印度 出门买东西， 如何 保持#安全距离 #新冠肺炎 ，#抗疫 ，
130,#印度#抗疫 ，#全国 #封锁 第3天
131,#原创  #动漫  #抗疫 隔离病毒，但我们不会隔离爱！！！
132,#原创者联盟计划   #抗疫 致敬守护者英雄！！@抖音小助手 @DOU+小助手
133,#原创音乐mv #我愿为你负重前行 #全国首发 #抗疫 #战歌响起 @抖音小助手
134,#叩叩神仙颜值在线吗 #特别 #的爱 #献给 #抗疫#一线#白衣#天使#感谢#无私奉献#谢抖音热门 @抖音小助
135,#各国 向#中国 提问#抗疫 #经验，#卫健委 #官方 #电话 被打爆!#中国 #选择 #毫无保留！
136,#吉林舒兰  #抗疫 看看全面核酸检测排查，这就是舒兰的态度，关注我带你看每天不一样的舒兰！
137,#同心 #抗疫 ！驰援#香港 #后盾来了 ！！！
138,#同风雨共抗疫 #活着 #抗疫 #汽车 #酷派
139,#向一线工作者致敬 #共同助力疫情防控 #就是因为热爱 #山河无恙人间皆安 #朝气跨年文案 #抗疫 #劳动人民
140,#向一线工作者致敬 #抗疫 响应号召，做好防护
141,#向一线工作者致敬 #抗疫 疫情来袭时保护好自己做好防护就是对家人和身边人最好的保护@抖音小助手
142,#向一线工作者致敬 #文明排队 #抗疫 #黑河加油
143,#向全世界安利肖战 战战，加油！#抗疫
144,#向关心支持#抗疫，肺炎的所有人士#向你们致敬！#
145,#听我说谢谢你 因为有你，世界更美丽 #抗疫 #白衣战士
146,#周口人周口事 周口官宣表彰抗疫人员，郸城占5人#郸城 #抗疫 @抖音小助手 @DOU+小助手
147,#周末  #抗疫，路是自已选的，后悔的话，也只能往自己的肚子里咽，如果你的前面有阴影，那是因为你背后有阳光
148,#周杰伦 作曲，#张学友 的新歌，让我们致敬#抗疫 英雄#抗击疫情
149,#和 @無爭律師 一起 合拍，支持这位律师的说法；中国🇨🇳只接受爱国的公民。#抗疫#武汉必胜 @抖音小助手
150,#和平精英#抗疫 说走就走 ，是人生最华丽的奢侈 ，也是最灿烂的自由…
151,#哈哈 我们的#建设者 #可盐可甜 #抗疫 #复工 #加油
152,#哈尔滨加油 #抗疫 哈尔滨加油！！！我被包围了#在家憋疯了
153,#唐山 #乐亭#境外返回不报备#立案侦查！#抗疫
154,"#喀什好消息#抗疫#疫情#加油@我要上热门, @抖音推广助手"
155,#四川 一隔离小区降为低风险，志愿者激动到落泪！这就是咱齐心协力的中国人！#抗疫 #志愿者 #新冠肺炎
156,#团结 #抗疫 #拓展训练 #Victory 2020银河国际户外体验式拓展训练圆满成功！
157,#国内快讯#抗疫 #加油中国 #钟南山  74岁王学圻扮演钟南山，还原钟老餐车小憩一幕。获赞@抖音小助手
158,#国际  #儿童 用空灵歌喉致敬人类 #抗疫 英雄！众志成城铸造《星光》！
159,#土澳 科学 #抗疫 民众开始#戴口罩 #维州 确诊数字下降👍@抖音小助手
160,#在一起  #抗疫 致敬每一位平凡而伟大的逆行者！
161,#在一起 #我的观影报告 #疫情 #抗疫
162,#在一起 #抗疫 #我的观影报告 #dou上热门 #抖音小助手 #最好哭剧
163,#在一起 #抗疫 #邓伦演大连小伙 #最美逆行 半个娱乐圈都来了，全部零片酬出演
164,#在一起 #抗疫 看完你不哭算我输
165,#在一起 有望在#美国 #hbo 播出！向世界展示中国的#抗疫 时光！@抖音小助手
166,#在一起#抗疫 #致敬我们的英雄 换你你怕吗？
167,#在一起首发预告 #抗疫  #邓伦演大连小伙 向所有工作人员致敬
168,#在一起首发预告 看的我好感动 #在一起 #抗疫 #杨洋赵今麦在一起预告
169,#在家办公的真实状态 #在家办公 #抗疫 #外国抗疫 哈哈哈#搞笑
170,#在家秀才艺 #轻漫计划 #抗疫 #白衣天使加油 #致敬白衣战士 刚画好白衣战士们勇斗病毒漫插，心中的大侠样！
171,#场上称霸 #世界第一 #抗疫 @抖音小助手 预测总数第一的国家肯定是美国，大家怎么看？同意的请点赞🙏🙏
172,#塞尔维亚火速建起 #方舱医院！迅速推广中国 #抗疫经验！
173,#境外输入病例猛增，#黑龙江小城 #绥芬河如何 #抗疫？#抖音小助手
174,#壁纸 #抗疫 #武汉加油 为前线的工作人员，加油助威！ @抖音小助手
175,#壁纸 #抗疫 那有什么岁月静好，不过是有人替你负重前行罢了。感谢粉丝投稿
176,#复学 #抗疫 #治庸 开学季，社区民警到各小学维持秩序，共同抗疫。@麒麟警方 @牛街小学信息平台 @曲靖警方
177,#复工 #抗疫 ##dou出赣鄱风韵 #抗击疫情江西在行动 #爱心守望情暖赣鄱
178,#外贸 和#内销 的不同逻辑#出口外贸 #抗疫 #复工 #dou出新知
179,#大v快评 #春节 别流动 #病毒 适合寒冷中生存#抗疫 @抖音小助手
180,#大型车祸现场 美国芝加哥50车连撞，疫情之下真是雪上加霜！#抗疫
181,#大家晚上好 #正是桃花烂漫时 #心情#美美哒##抗疫##必胜@抖音小助手 #🙏🙏🙏🙏#
182,#大理回应征用 #重庆 #抗疫 #口罩：正积极协调解决！ @抖音小助手
183,#大美医者 华西合唱团再次出发！#抗疫
184,#大自然 #动物 #昆虫 #抗疫 @抖音小助手 @DOU+小助手 蜻蜓和豆娘很像，确是蜻蜓目下的两个不同的类群
185,#大连 #抗疫 大连各区检测已出的结果均为阴性
186,#大连海洋大学 #抗疫 疫情封校，大海大要加油哦！好希望我们可以早点儿回家☺️
187,#天津 #抗疫 #白衣天使 @平安天津 @天津交警 @今鲜卫 @爱上天津卫 天津女护士邢蕊结束休整与家人团聚
188,#天津 #滨海新区 #抗疫 下周我们都好啦加油💪
189,#天津#复课#开学 孩子们大#课间练习#八段锦 增强#抵抗力 #抗疫
190,#天门#抗疫 0月2日抗疫表彰大会临时交通管制
191,#天门#抗疫#抗疫英雄 天门市0月2日抗疫表彰大会    向抗疫英雄致敬
192,#好吃！半个月米饭吃得#想家，他们在#抗疫 前线咥一碗#油泼面……#驰援武汉 #援鄂医疗队 #陕西 #抗疫一线
193,#好消息 ！天津大学实验室宣布已经研发出新冠病毒口服疫苗！#新冠肺炎 #抗疫 #疫苗
194,#如皋 #抗疫 #战疫英雄归来    英雄归来！为你们点赞！
195,#姚基金慈善赛 中国篮球明星队22比07男丁格尔明星队 #抗疫 #武汉加油中国加油 #dou来cba
196,#孩子 ，愿你一生平安！#抗疫 烈士#彭银华 孩子在#武汉 出生！
197,#孩子害怕白大褂，医护人员在#防护服上手绘卡通图案 #加油  #抗疫
198,#孩子，愿你一生#平安！#抗疫#烈士#彭银华 孩子在#武汉 出生
199,#宁都 翁建光 入选 #江西 百名最美#抗疫 #医生 致敬英雄们！@抖音小助手
200,#宅在家 #抗疫 等疫情过后，我要去逛街，我要去见想见的人，我要去吃火锅！#武汉加油#中国加油 💪
201,#宅家dou剧场从来就没有什么盖世英雄 有的  只是平凡人的挺身而出 #最美逆行者 #抗疫#首部抗疫题材电视剧
202,#安康 致敬英雄！欢迎英雄回家！#正能量传递 #抗疫 @DOU+小助手 @抖音小助手
203,#安徽 #援鄂医疗队  再启程！我们安徽人的宝贝！你们都是#抗疫 #英雄 等你们#凯旋归来 #我要上热门
204,#安徽 医疗专家赴非指导抗疫，这是中非特别峰会后首个赴非洲专家组。#抗疫
205,#安徽3名援汉医护人员破格转为事业编制 #抗疫
206,#安阳 #致敬 #遇见最美安阳 #抗疫
207,#官方 #辟谣 了，朋友圈疯传的瑞昌市现代城小区出现无症状感染者系谣言#瑞昌 #江西故事 #抗疫 @抖音小助手
208,#官方通报   #抗疫   #热点
209,#定远 #抗疫 #防疫志愿者 @抖音小助手
210,#宜建钟情 #护士懂护士 援鄂记-杀青👏🏻👏🏻👏🏻#抗疫
211,#宜昌 通报表扬04位“抗疫优秀护理工作者”。#抗疫 #国际护士节
212,#宝坻区区长毛劲松向#宝坻区92万“#抗疫”群众深深地#鞠躬#致谢 @抖音小助手
213,#宠物 #正能量 #家人 #抗疫 毛孩子是你的家人，你怎忍心让ta粉身碎骨@抖音小助手
214,#家医  #抗疫 公共健康以人为本，关爱健康健康以情感人。
215,#寒风中最帅#街舞 ！#石家庄#抗疫#志愿者：太冷了！跳个舞@抖音小助手
216,#小学作文 #作文开头方法 #抗疫 #云上大课堂你们要的作文开头。六种，够不够？
217,#小提琴 #低音提琴 #火红的萨日朗 #抗疫 #大提琴 #改编 #吉他 #亲子
218,#少年强则国家强 我是一名青年志愿者！#正能量 #助人为乐 #戴口罩 #志愿者 #抗疫 @抖音小助手
219,#山东“#逆行者”#隔离服 入驻#武穴 #博物馆#纪念品 #抗疫 #见证 @抖音小助手
220,#山东战疫 众志成城，热心市民给#消防员 送#抗疫 物资不留姓名！让消防员无比温暖！
221,#山东美好推荐官  #疫情 #演员 #抗疫 靳东出演，山影新作《武汉，你好！》致敬抗疫英雄@抖音小助手
222,#山河无恙人间皆安 #抗疫 #河北 加油！河北！加油！石家庄！
223,#巡礼金武门 #抖音美食 #抗疫 巡礼金武门之小马哥龙虾店，向每一个抗疫勇士致敬@抖音小助手 @DOU+小助手
224,#巴蜀名校 #南充十中附小#精致#教育 #抗疫
225,#平安归来 ！中国政府赴巴勒斯坦抗疫医疗专家组抵渝！#抗疫
226,#平昌 公安#抗疫 工作纪实
227,#幻灭残刀游戏日常 #2020#抗疫 woc预言家
228,#广东 “王炸天团”出发#塞尔维亚 支援#抗疫 ！塞尔维亚总统接机，亲吻#五星红旗 ！
229,#广州 将打造手印大道，收集#抗疫 #英雄 的手印。No.号手印自然是我们的#钟南山 院士！
230,#广州恒大 迪拜回来啦，看看你能认得出谁是谁吗？#抗疫
231,#广西 #十堰 #一家亲 十堰为广西医疗队送来40余万斤武当蜜桔！#暖 #抗疫
232,#广西中医药大学附属瑞康医院 #抗疫 向瑞康十八勇士致敬！
233,#广西梧州 #抗疫 梧州支援湖北医疗队第一批撤离湖北的队员今天回到广西！欢迎归来，向你们致敬！
234,#开学第一天！疫情防控做的怎样？你们说了算，我尽力了！#开学 #抗疫@抖音小助手
235,#开学第一课开播啦！总结5条能用在#作文里的#抗疫金句~快保存吧@抖音小助手
236,#张伯礼回忆#抗疫历程#眼眶湿润：我们一定能#战胜各种#传染病 @抖音小助手
237,#张文宏 表示：经过此次#抗疫 我国的公共卫生体系比原来更加强大，我们的目标是中国没有第二波#疫情
238,#张文宏 谈#中西医结合#抗疫：有了中医思想，我们能走得更远更好。#中医 #新冠肺炎 #中西医 #抗击疫情
239,#张文宏 ：抗疫水平像找男朋友，适合自己就是最好！@DOU+小助手 #抗疫
240,#张杰  #抗疫 今年我们都太难了#张杰生日演唱会 #只要平凡
241,#张杰 #张杰生日演唱会 为所有#抗疫 一线的医护人员演唱，几度泣不成声，粉丝暖心大合唱～
242,#彩虹🌈愿一切安好#抗疫#北京加油💪
243,#影视剪辑  #雷佳音  #武汉小女孩  #抗疫
244,#微光成炬为爱发声  @外研讯飞  #抗疫 主题 #英文演讲 速读版，看到最后哦
245,#德国 归国女子体温37.3度，跳窗逃跑被抓回。你跑了#新冠病毒 就没了吗？#新冠肺炎 #抗疫
246,#志愿活动 #志愿服务 #温暖回家路#抗疫英雄凯旋 #抗疫大庆在行动 #抗疫
247,#恰恰   今天穿这裙子扭了两首恰恰，腰围瞬间剧降2公分，此话真实有效😀😀宝宝们，扭起来#宅家运动#抗疫
248,#悉尼 北部沙滩#疫情 再现！最近不要去视频里这三个地方！#抗疫
249,#情感 4块5的妞男人都喜欢，4块5的男孩没人喜欢 #抗疫#致敬医护共抗疫情 #助力湖北#心情
250,#想唱就唱 #抖音记录美好生活。￼传递正能量￼￼#全国哀悼日。#抗疫￼牺牲的英雄￼#永垂不朽￼@DOU+小助手
251,#意大利 #抗疫 进入第二周，可戴口罩还是一件难上加难的事情🌸你说意大利人在想什么？#vlog
252,#意大利 #新冠病人 的自述 #欧洲#海外生活 #新冠疫情 #解封 #抗疫 #抖音热门
253,#意大利 27岁#抗疫 #美女医生 惨遭护士男友勒死 称动机“她传染了我”
254,#意大利 皮埃蒙特大区最新#抗疫 声明~没有哪个国家会无视生命~#战胜疫情dou行动 起来 @抖音小助手
255,#意大利外长感谢中国援助：送急缺物资，派出专家队伍 #协助 #抗疫
256,#意大利情侣故事，你愿意冒着感染的风险陪伴她最后一程吗…#意大利疫情#新冠肺炎#抗疫@抖音#我爱你中国🇨🇳
257,#意大利疫情 意大利加油！#抗疫
258,#意大利疫情 意大利解封在即，餐馆如何做好外卖防疫？中国人有一套！#抗疫
259,#意大利疫情 谁说意大利人不怕病毒？#抗疫
260,#感人 在宠物心里，主人就是他的唯一，无论什么时候，只要有危险它们就是第一个冲出来的#抗疫 #宠物#别弃养
261,#感动 #群星 #抗疫 #在一起 相亲相爱一家人
262,#感谢抖音传播正能量 #抗疫 @抖音小助手
263,#感谢抖音传播正能量 #抗疫@抖音小助手
264,#愿所有美好如约而至 #防控疫情我们在一起 #抗疫 #冬天该有的样子 ##@花好月圆55033
265,#成都必胜 #抗疫 全校师生检查结果：阴性。感谢各位医护人员，各位老师：你们辛苦了。致敬。
266,#成都郫都区再增例确诊病例 直击发布会现场：一人重症，一人暂未出现症状#抗疫
267,#成都郫都区正有序开展核酸检测 完成一人检测只需分钟，检测点将24小时运行 #抗疫
268,#我们相逢在春天 #五一 #抗疫 #声乐教学 @抖音小助手
269,#我叫大连即使误入也会勇敢 #在一起#抗疫#邓伦演大连小伙 @抖音推广助手
270,#我的观影报告 #在一起 #疫情 #抗疫
271,#我的观影报告 #在一起 #疫情 #抗疫 #下集更精彩
272,#我的观影报告 #抗疫
273,#我的隔离日记 #抗疫  曾在意大利遇过一神奇的出租车司机，所有效力过意甲的球星都在他车上签过名，望他安好
274,#我的隔离日记 #抗疫  趁隔离的日子，翻出陈年视频，巴西世界杯时还蛮有意思的，疯狂的比利时球迷啊我的天
275,#我的隔离日记 #抗疫 #广州恒大 #中超   猜猜这是哪年夺冠的内部庆祝，在哪里庆祝的？片尾有部分答案。
276,#我的隔离日记 #抗疫 #广州恒大 #亚冠  今天结束隔离啦，重见天日！在回看恒大上一次亚冠捧杯的视频
277,#我的隔离日记 #抗疫 #广州恒大 最近翻出好多陈年视频，这是哪一年超级杯恒大夺冠，各位猜猜
278,#我要上热门 #红旗伙伴守望相助 #热门 #抗疫 小嘀嗒随机应变能力不考不知道，一考吓一跳
279,#战胜疫情dou行动 巾帼不让须眉，记录坚守在#抗疫 一线的战地玫瑰！#战胜疫情甘肃在行动 @抖音小助手
280,#战胜疫情dou行动 扫码#抗疫 系统进行，你会操作了吗？
281,#手机特效  #家庭趣事 #抗疫 冬天来了疫情防范从我做起！为祖国加油！@DOU+小助手
282,#手绘 #手绘pop #海报 #众志成城共抗疫情 #抗疫 #抖音小助手
283,#手绘头像 #李兰娟院士 #抗疫 #procreate #武汉加油 #加油世界 #画画
284,#手绘字体 #手绘pop #抖音小助手 #抗疫 #最美逆行者 致敬最美的逆行者@抖音小助手 @DOU+小助手
285,#抖音 #人民战疫 #抗疫 #抖音小助手 #抗疫 #抖音 #抖音小助手
286,#抖音辟谣 钟南山院士来石家庄了？谣言！#新冠肺炎 #抗疫 #钟南山
287,#抖音陪伴@抖音小助手 #健身 #抗疫
288,#抖音陪你环游世界 #抗疫 逐渐恢复正常了，感谢所有为抗疫付出的英雄们🙏🙏🙏🙏
289,#抗击新冠肺炎疫情专题展览开幕式 时间虽然会过去，但历史不会忘记！致敬抗疫英雄！#抗疫
290,#抗击疫情 #抗疫 #奋斗 #努力 #爱国 #中国 #中国加油 #我是中国人 #奉献
291,#抗洪战士与#抗疫母亲视频通话：你是我的榜样 我要成为你的骄傲
292,#抗疫
293,#抗疫     2020年4月4日上午0点，全国向抗疫英雄默哀。
294,#抗疫    一线防疫工作人员，休息之余摇起了小腿。（注意安全！）
